exit,pf_is,pf_oos,mk_is,mk_oos
Ret_72,1.3622,1.57,98.9,43.5
Ret_96,1.3806,51122865.3627,95.8,86.0
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3691,1.5221,99.1,42.699999999999996
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.4029,1.5943,98.6,48.4
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_96,1.3827,1.5255,98.8,26.0
Ret_72,1.4142,1.6645,98.7,52.300000000000004
Ret_72,1.3921,1.8513,98.8,63.7
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.4644,1.396,98.7,38.4
Ret_72,1.4144,1.4253,97.89999999999999,36.3
Ret_72,1.4386,1.3126,98.8,33.800000000000004
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.4038,1.6004,99.8,56.699999999999996
Ret_96,1.4975,1.276,99.3,6.5
Ret_96,1.3723,1.6365,97.39999999999999,38.1
Ret_72,1.3622,1.57,98.9,43.5
Ret_96,1.3717,1.3716,94.3,47.599999999999994
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3978,1.5623,98.8,48.699999999999996
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.4637,1.5439,99.2,42.8
Ret_96,1.409,1.5447,95.8,41.5
Ret_96,1.48,1.5986,98.6,46.0
Ret_96,1.5237,1.4663,99.4,31.8
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3655,1.1558,99.1,6.4
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_96,1.3984,1.7058,95.7,40.2
Ret_72,1.3895,1.4227,97.6,40.6
Ret_96,1.4039,1.5056,95.7,34.2
Ret_72,1.3767,1.1187,98.1,34.0
Ret_72,1.4481,1.2924,98.0,29.7
Ret_96,1.3693,1.4137,97.8,17.5
Ret_72,1.415,1.4429,98.6,47.8
Ret_96,1.4005,1.4491,99.2,19.400000000000002
Ret_72,1.3622,1.57,98.9,43.5
Ret_96,1.3676,1.5316,97.0,30.8
Ret_96,1.3755,1.1972,95.19999999999999,9.2
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3687,1.2542,96.5,28.4
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_96,1.427,2.677,97.39999999999999,76.1
Ret_72,1.3716,1.6153,98.9,47.599999999999994
Ret_96,1.5186,1.6007,98.8,50.4
Ret_72,1.3622,1.57,98.9,43.5
Ret_96,1.3653,1.5984,95.89999999999999,36.1
Ret_72,1.4534,1.2114,99.2,15.4
Ret_72,1.3644,1.4506,98.0,41.0
Ret_96,1.3631,2.1646,98.9,63.1
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3757,1.2771,96.3,25.4
Ret_96,1.4172,1.4946,98.1,41.9
Ret_72,1.5614,1.1597,99.7,11.899999999999999
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3941,1.1485,99.6,18.9
Ret_72,1.3622,1.57,98.9,43.5
Ret_96,1.3644,1.5692,95.7,35.699999999999996
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.4226,1.1564,98.7,20.4
Ret_72,1.4198,1.4898,99.2,43.8
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_96,1.3984,2.2341,99.2,60.699999999999996
Ret_72,1.3809,1.2866,99.8,17.7
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_96,1.4221,1.8733,98.3,46.7
Ret_96,1.4103,1.2404,99.4,8.1
Ret_72,1.4912,1.7944,99.9,52.5
Ret_72,1.372,1.2275,99.7,21.2
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3644,1.5656,98.8,46.300000000000004
Ret_96,1.416,1.5802,99.3,26.5
Ret_72,1.47,1.3356,99.7,24.2
Ret_96,1.5013,1.5958,97.7,39.0
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3969,1.5079,99.1,43.3
Ret_72,1.3826,1.57,99.2,43.5
Ret_96,1.4206,2.627,98.0,58.9
Ret_96,1.3942,1.336,99.4,40.9
Ret_96,1.3641,2.3767,98.0,74.0
Ret_72,1.3663,1.4562,98.4,40.9
Ret_72,1.4098,1.4359,98.0,40.0
Ret_96,1.4024,1.3973,96.0,28.199999999999996
Ret_72,1.393,1.6954,98.6,57.99999999999999
Ret_96,1.5217,1.6007,99.0,50.4
Ret_72,1.3885,1.587,98.7,45.7
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.4305,1.1165,98.6,13.600000000000001
Ret_96,1.3952,1.5309,99.6,21.5
Ret_72,1.4056,1.4859,99.4,42.199999999999996
Ret_96,1.3677,1.4606,99.5,20.599999999999998
Ret_72,1.4045,1.516,97.39999999999999,44.800000000000004
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.5103,97.7,44.9
Ret_72,1.4029,1.5943,98.6,48.4
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.4074,1.4182,99.2,47.3
Ret_72,1.3745,1.471,98.3,43.8
Ret_72,1.5396,1.4772,100.0,44.1
Ret_72,1.3622,1.57,98.9,43.5
Ret_96,1.383,1.6509,96.8,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3664,1.2847,97.39999999999999,29.2
Ret_72,1.4205,1.5964,99.0,50.5
Ret_96,1.4216,1.4645,98.0,25.3
Ret_72,1.3675,1.0347,98.6,1.5
Ret_72,1.3743,1.5634,98.8,45.300000000000004
Ret_72,1.3941,1.1485,99.6,18.9
Ret_96,1.3672,55086884.4446,96.0,92.60000000000001
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.394,1.4682,96.8,50.3
Ret_72,1.3622,1.57,98.9,43.5
Ret_96,1.364,98387626.1263,97.6,97.2
Ret_72,1.4399,1.3443,99.2,32.7
Ret_72,1.371,1.4253,98.5,39.2
Ret_96,1.397,1.5882,97.2,34.0
Ret_96,1.3815,1.6465,96.6,36.1
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.429,1.3738,99.4,30.599999999999998
Ret_96,1.3743,1.7691,95.89999999999999,50.8
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3622,1.5758,98.9,43.3
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.3999,1.6427,98.9,51.1
Ret_96,1.3984,1.399,99.9,12.1
Ret_72,1.3788,1.5616,98.7,49.4
Ret_72,1.6211,1.2042,99.8,15.7
Ret_72,1.3632,1.3699,98.3,31.5
Ret_96,1.3832,1.3195,98.5,7.9
Ret_96,1.4188,1.503,98.1,33.7
Ret_72,1.3622,1.57,98.9,43.5
Ret_72,1.4337,1.5141,99.4,41.3
Ret_96,1.3868,1.3043,96.89999999999999,18.6
Ret_72,1.4197,1.6556,98.0,59.699999999999996
Ret_72,1.3622,1.57,98.9,43.5
Ret_96,1.3714,1.6157,96.0,33.2
Ret_72,1.4421,1.6552,98.9,52.1
Ret_96,1.3634,1.6099,94.39999999999999,39.7
Ret_72,1.4109,1.4192,99.4,31.5
Ret_72,1.3622,1.57,98.9,43.5
