Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
efficiency_24_sft >= -4.13|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|efficiency_55_sft <= ema_21_sft,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
linreg_89_sft >= -4.66|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
efficiency_120_sft <= ema_120_sft|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
linreg_48_sft <= ema_21_sft|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
efficiency_24_sft >= -1.85|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
minus_di_8_sft >= -4.98|aroon_120_sft >= 72.5|linreg_144_sft <= ema_34_sft,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|efficiency_5_sft <= ema_13_sft,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
minus_di_144_sft >= ema_5_sft|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|linreg_48_sft <= 0.6,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|aroon_200_sft >= -51.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|trix_5_sft <= ema_120_sft,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|minus_di_120_sft >= ema_24_sft,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
linreg_8_sft >= -7.21|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
macdh_5_sft <= 9.15|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
efficiency_24_sft <= ema_34_sft|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|adx_13_sft >= -3.89,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|efficiency_21_sft <= ema_48_sft,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
linreg_34_sft <= ema_120_sft|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
slope_5_sft <= 9.5|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
slope_89_sft <= 1.22|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
linreg_55_sft <= 3.88|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|trix_55_sft <= 8.84,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|aroon_55_sft >= -74.545456,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|macdh_34_sft <= 5.62,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|linreg_120_sft >= -4.57,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
plus_di_34_sft >= -0.66|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|efficiency_89_sft <= ema_5_sft,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
plus_di_200_sft >= ema_200_sft|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|adx_34_sft >= ema_200_sft,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
aroon_120_sft >= 72.5|linreg_34_sft <= ema_48_sft,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
minus_di_24_sft >= -8.38|aroon_120_sft >= 72.5,SHORT,Ret_12,9.265,0.9693,1654,91,0.9081,2.1095,0.6399,100.0,93.4,0.7317,0.7079
